"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa Gamer","8","6749.09","2914.11","53992.72","17/09/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Caderno Universitário","16","8403.41","4706.99","134454.56","05/10/2024","FOB","","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Caneta Esferográfica","1","6609.76","3639.04","6609.76","14/01/2024","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Drone Compacto","25","1498.41","896.51","37460.25","24/05/2023","FOB","","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","Mochila Executiva","23","3844.9","2105.33","88432.7","12/11/2024","CIF","22.01","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Mesa Gamer","12","9645.18","4090.45","115742.16","27/05/2024","CIF","122.26","Em Análise"
"Solari Imports","Salvador","SPP","","85.760.510/7142-36","Mesa Gamer","22","3699.55","2892.85","81390.1","05/01/2024","FOB","","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Carteira Masculina","14","8480.67","3750.55","118729.38","31/05/2024","CIF","76.28","Cancelada"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Cadeira Ergonômica","17","4110.28","1893.17","69874.76","26/03/2024","FOB","","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Marcador Permanente","20","5610.99","3770.06","112219.8","12/04/2023","CIF","190.18","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Smartphone Importado","10","5302.47","2603.36","53024.7","04/04/2023","CIF","175.18","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","7","2945.56","1559.44","20618.92","14/03/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Smartphone Importado","12","8966.56","4459.84","107598.72","04/05/2023","FOB","","Em Análise"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Caixa de Som Smart","9","2813.72","1338.79","25323.48","16/11/2024","CIF","38.7","Pendente"
"Comercial Andrade Ltda","Curitiba"," pa","","55.537.611/1556-06","Mesa Gamer","16","2465.77","1677.63","39452.32","30/08/2024","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Fone Bluetooth","12","5352.16","2464.7","64225.92","26/01/2023","CIF","141.03","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Agenda 2025","9","2281.33","1904.26","20531.97","11/29/2024","CIF","83.35","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Smartphone Importado","26","92.35","67.58","2401.1","09/30/2023","CIF","124.53","Em Análise"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Monitor Full HD","3","7688.92","2823.3","23066.76","24/07/2023","FOB","","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Bloco de Notas","25","9171.43","3573.49","229285.75","13/04/2023","FOB","","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Smartphone Importado","4","3837.36","1725.45","15349.44","14/06/2024","CIF","91.24","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Pulseira Esportiva","22","4594.58","3519.38","101080.76","25/08/2023","FOB","","Pendente"
"Camila Pires","Manaus","AM","899.777.131-83","","Fone Bluetooth","28","5593.96","4669.59","156630.88","19/05/2024","FOB","","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Monitor Full HD","12","3757.21","2017.84","45086.52","18/11/2023","CIF","179.98","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Pulseira Esportiva","10","9127.53","3519.38","91275.3","30/11/2024","FOB","","Em Análise"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Mesa de Escritório","23","3654.19","1365.18","84046.37","01/12/2023","FOB","","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Kit Gamer Completo","24","5838.17","2818.98","140116.08","27/02/2024","FOB","","Concluída"
"Prime Office Supplies","Belém","RJ ","","15.193.269/0057-63","Kit Gamer Completo","19","2166.95","1173.93","41172.05","10/01/2024","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Cadeira Ergonômica","11","958.09","672.58","10538.99","26/09/2024","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Óculos de Sol","23","4904.31","1856.92","112799.13","27/10/2023","FOB","","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Lápis de Cor","19","9177.33","4686.16","174369.27","03/11/2023","CIF","89.56","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Carteira Masculina","28","3316.19","2998.08","92853.32","05/06/2023","CIF","74.84","Pendente"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Cadeira Ergonômica","30","6435.99","2367.35","193079.7","24/02/2023","FOB","","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Mini Projetor","15","1684.74","1331.14","25271.1","29/09/2023","CIF","34.22","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Bolsa de Viagem","12","12071.62","4390.23","144859.44","08/05/2023","CIF","101.56","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Estojo Escolar","12","5213.92","2166.8","62567.04","10/02/2023","FOB","","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Estojo Escolar","","3991.79","2260.22","11975.37","03/08/2024","FOB","","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Estante de Livros","25","2613.22","2068.63","65330.5","01/05/2024","FOB","","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Notebook Comum","29","11650.64","4230.52","337868.56","11/06/2023","FOB","","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Smartphone Importado","27","10811.04","4459.84","291898.08","08/02/2023","FOB","","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Fone Bluetooth","9","8004.57","4976.19","72041.13","11/07/2024","FOB","","Concluída"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","PC de Escritório","23","121.82","81.54","2801.86","13/02/2023","CIF","54.37","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Headset USB","5","4275.16","2383.72","21375.8","09/02/2024","FOB","","Pendente"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Bolsa de Viagem","9","5866.7","4349.02","52800.3","30/06/2023","FOB","","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Estojo Escolar","25","4965.59","3981.39","124139.75","01/13/2024","CIF","22.16","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Mesa Gamer","1","912.78","378.66","912.78","11/07/2023","FOB","","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Caderno Universitário","9","8328.6","3033","74957.4","24/04/2024","CIF","154.24","Pendente"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Headset USB","27","7052.79","3076.89","190425.33","16/10/2023","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Notebook Comum","21","11814.62","4612.79","248107.02","16/01/2023","CIF","131.38","Cancelada"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Gaveteiro com Rodas","2","3843.3","1812.15","7686.6","08/08/2024","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","Prr","","35.982.399/2390-09","Pulseira Esportiva","25","11687.03","4248.1","292175.75","05/01/2024","CIF","197.54","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mini Projetor","4","337.2","266.3","1348.8","01/03/2024","FOB","","Pendente"
"Rafael Andrade","Porto Alegre","Prr","618.986.735-72","","Pulseira Esportiva","17","8584.5","3664.25","145936.5","09/06/2023","FOB","","Cancelada"
"Patrícia Moura","Porto Alegre","Prr","446.073.750-07","","Drone Compacto","3","5597.49","3454.19","16792.47","03/18/2024","FOB","","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Estante de Livros","4","789.36","537.08","3157.44","11/02/2023","FOB","","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","PC de Escritório","15","858.09","624.96","12871.35","14/05/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Fone Bluetooth","29","8422.38","4459.8","244249.02","01/06/2024","FOB","","Em Análise"
"Mirella Castro","Belém"," pa","204.535.546-30","","Teclado Mecânico","10","3723.81","2966.33","37238.1","07/05/2023","CIF","47.5","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Lápis de Cor","30","2291.03","1447.99","68730.9","02/11/2023","FOB","","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Monitor Full HD","4","9271.18","4566.57","37084.72","31/08/2023","FOB","","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Smartphone Importado","29","4062.06","1523.23","117799.74","05/09/2023","FOB","","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Óculos de Sol","7","2686.66","1856.92","18806.62","03/10/2024","FOB","","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Bloco de Notas","14","714.46","522.09","10002.44","11/11/2024","FOB","","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","PC Gamer","7","293.17","259.95","2052.19","05/18/2024","CIF","94.82","Em Análise"
"UniFlex Comercial","Manaus","am ","","53.020.698/5267-01","Estojo Escolar","4","6594.82","3981.39","26379.28","05/01/2023","CIF","193.36","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Estojo Escolar","4","5883.18","3981.39","23532.72","01/03/2023","FOB","","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Smartphone Importado","21","5296.93","3222.18","111235.53","18/03/2023","FOB","","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Caixa de Som Smart","28","2163.03","1338.79","60564.84","06/08/2023","FOB","","Cancelada"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Caderno Universitário","19","8408.31","4318.97","159757.89","01/06/2024","CIF","95.02","Concluída"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa de Escritório","23","1512.07","1177.07","34777.61","09/01/2023","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Caderno Universitário","2","5877.93","2391.45","11755.86","01/09/2023","FOB","","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Monitor Full HD","26","8759.27","4550.05","227741.02","09/26/2024","CIF","159.17","Em Análise"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","PC de Escritório","6","8148.3","3256.63","48889.8","11/10/2023","FOB","","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Smartphone Importado","4","4594.19","1843.64","18376.76","15/01/2024","CIF","60.46","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mesa de Escritório","22","5662.78","2558.46","124581.16","08/09/2024","CIF","105.15","Em Análise"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Pulseira Esportiva","23","159.11","75.48","3659.53","20/04/2024","CIF","161.04","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Mini Projetor","14","2349.69","1514.43","32895.66","05/27/2024","CIF","76.37","Pendente"
"UniFlex Comercial","Manaus","Ba","","53.020.698/5267-01","Teclado Mecânico","14","5061.6","2531.95","70862.4","15/12/2023","CIF","102.56","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Notebook Comum","29","7908.28","4612.79","229340.12","21/09/2024","FOB","","Cancelada"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","PC de Escritório","30","10606.33","4816.22","318189.9","06/11/2023","CIF","197.42","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Carteira Masculina","28","2717.67","1006.08","76094.76","03/10/2023","FOB","","Pendente"
"Juliana Souza","Rio de Janeiro","SPP","790.436.054-86","","Caneta Esferográfica","12","6157.18","2326.02","73886.16","14/01/2024","CIF","59.07","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Drone Compacto","14","2493.89","1142.1","34914.46","03/10/2024","FOB","","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Kit Gamer Completo","11","977.84","792.43","10756.24","17/06/2024","CIF","76.72","Pendente"
"Fernanda Almeida","Recife","am ","726.932.467-29","","Relógio Digital","10","2308.78","1386.93","23087.8","12/01/2024","CIF","94.44","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mini Projetor","4","2664.58","1331.14","10658.32","24/05/2023","CIF","61.53","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Drone Compacto","15","2129","896.51","31935","10/14/2023","FOB","","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Carteira Masculina","21","4697.51","2611.38","98647.71","03/24/2024","CIF","70.89","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","Monitor Full HD","11","3758.19","2017.84","41340.09","05/11/2024","CIF","47.49","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Notebook Gamer","14","8189.58","3642.58","114654.12","19/06/2024","FOB","","Em Análise"
"Felipe Moreira","Manaus","AM","247.173.034-32","","Marcador Permanente","5","4454.97","2975.84","22274.85","06/10/2023","CIF","118.71","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Smartphone Importado","19","2076.82","1843.64","39459.58","04/15/2024","CIF","199.8","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Mesa Gamer","16","8777.91","4090.45","140446.56","01/07/2024","CIF","80.38","Cancelada"
"Carlos Eduardo Lima","Brasília"," Df","768.734.911-59","","Smartphone Importado","21","2496.82","2185.74","52433.22","01/12/2024","FOB","","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Drone Compacto","25","2990.55","1186.41","74763.75","29/07/2023","FOB","","Concluída"
"Hugo Martins","Manaus","AM","181.125.206-47","","Smartphone Importado","29","6920.55","2603.36","200695.95","28/02/2023","CIF","64.53","Cancelada"
"Prime Office Supplies","Belém","am ","","15.193.269/0057-63","Mesa Gamer","4","7532.32","2914.11","30129.28","03/07/2023","FOB","","Cancelada"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Marcador Permanente","21","1366.3","1029.34","28692.3","10/08/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Teclado Mecânico","3","4106.88","3691.1","12320.64","01/07/2023","CIF","184.51","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caneta Esferográfica","8","3187.86","1747.81","25502.88","10/06/2024","FOB","","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Relógio Digital","29","11152.31","4464.78","323416.99","26/01/2024","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Carteira Masculina","17","1155.2","1006.08","19638.4","09/10/2023","CIF","76.03","Em Análise"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Mesa de Escritório","12","3949.09","1980.8","47389.08","29/09/2023","CIF","164.38","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Carteira Masculina","8","4082.3","2611.38","32658.4","07/06/2023","CIF","126.45","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Óculos de Sol","24","5462.02","4704.27","131088.48","05/04/2024","FOB","","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","","17","7820.31","3256.63","132945.27","18/08/2024","FOB","","Cancelada"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Bolsa de Viagem","16","11388.37","4602.28","182213.92","31/07/2024","FOB","","Pendente"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Notebook Gamer","2","1368.07","646.73","2736.14","09/05/2024","FOB","","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Lápis de Cor","18","7066.82","4686.16","127202.76","10/26/2023","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Smartphone Importado","25","6301.83","2255.68","157545.75","19/11/2024","CIF","114.82","Pendente"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Relógio Digital","6","8410.6","4464.78","50463.6","29/11/2024","CIF","149.52","Concluída"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Teclado Mecânico","21","5741.33","3691.1","120567.93","19/05/2023","CIF","49.62","Cancelada"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Teclado Mecânico","21","5741.33","3691.1","120567.93","19/05/2023","CIF","49.62","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Lápis de Cor","28","10975","4394.3","307300","25/05/2024","CIF","92.85","Pendente"
"Hugo Martins","Manaus","RJ ","181.125.206-47","","","9","7036.15","4248.1","63325.35","23/11/2024","FOB","","Em Análise"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Mesa de Escritório","8","5081.61","1980.8","40652.88","12/03/2023","CIF","77.55","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Monitor Full HD","2","11355.26","4566.57","22710.52","20/10/2023","CIF","109.32","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Monitor Full HD","12","3073.26","2421.74","36879.12","29/11/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Mini Projetor","2","4248.42","2835.36","8496.84","02/23/2024","FOB","","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mesa Gamer","15","10222.28","3954.14","153334.2","01/01/2024","CIF","110.9","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mini Projetor","7","1987.11","1331.14","13909.77","01/08/2024","CIF","182.83","Em Análise"
"Simone Teixeira","Rio de Janeiro","SPP","499.655.531-18","","Pulseira Esportiva","15","8086.03","4831.31","121290.45","05/30/2023","FOB","","Concluída"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Mesa Gamer","4","1717.13","656.53","6868.52","09/04/2024","FOB","","Concluída"
"MaxxiTech Components","Salvador"," pa","","33.181.017/5893-40","Smartphone Importado","14","3809.66","1725.45","53335.24","30/01/2024","FOB","","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Pulseira Esportiva","24","7995.09","4248.1","191882.16","24/10/2023","FOB","","Pendente"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Caderno Universitário","18","10588.06","3869.27","190585.08","24/05/2024","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Agenda 2025","24","2124.3","1646.62","50983.2","14/01/2023","FOB","","Em Análise"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Caixa de Som Smart","3","2574.26","1338.79","7722.78","05/04/2024","CIF","162.39","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Teclado Mecânico","16","6097.4","3691.1","97558.4","07/06/2023","CIF","40.9","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Mochila Executiva","6","1571.67","974.18","9430.02","10/06/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Mesa Gamer","25","9301.86","4489.45","232546.5","12/04/2024","CIF","189.29","Cancelada"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Bloco de Notas","23","5345.88","3573.49","122955.24","06/08/2024","FOB","","Concluída"
"Camila Pires","Manaus","AM","899.777.131-83","","Pulseira Esportiva","8","6149.64","3519.38","49197.12","08/10/2023","FOB","","Pendente"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Gaveteiro com Rodas","24","5012.05","1812.15","120289.2","28/02/2023","FOB","","Concluída"
"Solari Imports","Salvador"," Df","","85.760.510/7142-36","Pulseira Esportiva","17","3512.31","1343.47","59709.27","21/03/2024","FOB","","Cancelada"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Bolsa de Viagem","9","11937.12","4349.02","107434.08","06/12/2023","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Caderno Universitário","23","2103.12","1559.44","48371.76","08/03/2023","CIF","130.25","Pendente"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Caixa de Som Smart","20","7541.8","4985.88","150836","18/08/2023","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Notebook Comum","3","2882.99","2512.43","8648.97","04/17/2023","FOB","","Em Análise"
"Mirella Castro","Belém","PA","204.535.546-30","","Óculos de Sol","24","9718.83","4804.41","233251.92","01/08/2023","CIF","21.38","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Mochila Executiva","1","2987.95","2105.33","2987.95","25/07/2024","FOB","","Cancelada"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Bloco de Notas","15","10441.78","3929.47","156626.7","04/07/2023","CIF","102.05","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Caneta Esferográfica","18","3202.99","2326.02","57653.82","14/08/2023","CIF","161.78","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Kit Gamer Completo","27","953.95","792.43","25756.65","08/23/2023","FOB","","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Fone Bluetooth","20","545.04","283.49","10900.8","15/11/2023","FOB","","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Fone Bluetooth","20","545.04","283.49","10900.8","15/11/2023","FOB","","Concluída"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Bolsa de Viagem","2","3122.75","2508.59","6245.5","25/12/2023","CIF","152.57","Em Análise"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Notebook Comum","26","6365.46","2512.43","165501.96","05/04/2024","FOB","","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Caderno Universitário","30","4509.84","1857.11","135295.2","06/22/2023","CIF","34.11","Cancelada"
"Camila Pires","Manaus","AM","899.777.131-83","","Agenda 2025","30","1004.63","375.79","30138.9","09/08/2023","CIF","74.82","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Estante de Livros","22","4413.56","3869.96","97098.32","03/28/2023","CIF","155.98","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Lápis de Cor","11","2804.16","1224.15","30845.76","09/09/2024","FOB","","Cancelada"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa Gamer","3","8881.74","4489.45","26645.22","15/07/2024","FOB","","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Pulseira Esportiva","19","3510.37","1778.19","66697.03","04/05/2023","CIF","156.89","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Caixa de Som Smart","27","2590.76","1011.04","69950.52","18/10/2023","FOB","","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mouse Sem Fio","28","10365.25","3983.86","290227","03/05/2023","CIF","185.38","Cancelada"
"Mirella Castro","Belém","PA","204.535.546-30","","Mouse Sem Fio","10","5698.5","3529.53","56985","08/04/2024","CIF","47.84","Em Análise"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Carteira Masculina","11","4598.33","2611.38","50581.63","05/08/2023","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Pulseira Esportiva","6","7302.48","4248.1","43814.88","07/11/2023","FOB","","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Marcador Permanente","5","3322.98","2975.84","16614.9","24/06/2023","CIF","62.83","Concluída"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mesa Gamer","28","7590.26","4090.45","212527.28","19/09/2024","FOB","","Em Análise"
"Larissa Ferreira","Manaus","Prr","450.010.242-24","","Drone Compacto","29","2129.9","1307.68","61767.1","01/23/2023","FOB","","Cancelada"
"Moura & Filhos ME","Brasília","Ce","","35.982.399/2390-09","Gaveteiro com Rodas","19","6491.63","4073.04","123340.97","10/05/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Caixa de Som Smart","7","6647.76","4883.3","46534.32","11/09/2024","FOB","","Pendente"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Mochila Executiva","27","4218.19","2105.33","113891.13","22/02/2023","FOB","","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Kit Gamer Completo","9","9324.01","4378.65","83916.09","15/11/2023","FOB","","Concluída"
"Rogério Matos","São Paulo","SP","263.971.756-39","","Monitor Full HD","2","5746.87","4550.05","11493.74","30/07/2023","FOB","","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","PC de Escritório","24","77.94","47.89","1870.56","26/12/2023","FOB","","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","PC de Escritório","24","77.94","47.89","1870.56","26/12/2023","FOB","","Cancelada"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Smartphone Importado","","4871.37","4398.3","116912.88","29/08/2024","CIF","136.31","Em Análise"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Kit Gamer Completo","26","1732.51","792.43","45045.26","07/31/2024","FOB","","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Caderno Universitário","8","6242.75","4706.99","49942","01/16/2024","FOB","","Cancelada"
"Renato Carvalho","Recife","PE","071.142.172-58","","PC de Escritório","17","925.65","624.96","15736.05","30/08/2023","FOB","","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Caderno Universitário","16","3987.94","3033","63807.04","02/01/2023","CIF","132.64","Pendente"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Smartphone Importado","29","3282.74","2603.36","95199.46","11/06/2023","FOB","","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Bloco de Notas","9","516.58","384.07","4649.22","01/09/2023","CIF","107.88","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Bolsa de Viagem","3","4882.45","4390.23","14647.35","22/06/2024","FOB","","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Lápis de Cor","20","2634.95","1224.15","52699","06/07/2023","FOB","","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Mesa Gamer","8","7773.32","2914.11","62186.56","18/01/2023","CIF","182.93","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","PC Gamer","5","2099.9","1137.49","10499.5","09/29/2024","FOB","","Pendente"
"Mirella Castro","Belém","PA","204.535.546-30","","Headset USB","17","10701.7","4172.06","181928.9","03/01/2024","CIF","175.46","Cancelada"
"Fortline Comércio Geral","Belém","PA","","62.057.831/3216-20","Headset USB","18","3041.77","2383.72","54751.86","13/06/2024","FOB","","Cancelada"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Estante de Livros","18","1519.86","1129.49","27357.48","04/08/2023","CIF","159.62","Em Análise"
